(36000, 25284, 53701, 0.48628765415339814)
(-14095, -55178, -19161, 0.1338068292427081)
(59010, -45625, -59024, 0.2019317773207096)
(40478, 28315, 38826, 1.0673391562041005e-05)
(53035, 58694, -24641, 0.10801293388094753)
(27752, -992, 37868, 0.0391295777089215)
(-2849, 54210, -48689, 0.1256522013590505)
(8624, 51255, -28154, 0.4829262072637716)
(-673, 17182, -17248, 0.027996952127938266)
(28468, 52779, -590, 0.3914409654185027)
(20684, -40730, 63441, 0.49698606002862517)
(37460, -6579, 62049, 0.39727321853440495)
(-51607, 13420, -18408, 0.31675429803416116)
(48649, -10694, 8247, 0.49147295922846873)
(-14998, -46249, 31886, 0.07224070682257872)
(-22370, -31197, -9882, 1.0772864031060639e-05)
(2802, -195, -56097, 0.4135498970215521)
(-55046, 7523, -60491, 0.004734275401549995)
(27308, 55179, 10617, 6.119338378940165e-05)
(12613, -16563, -18658, 0.005602773506348078)
(55328, -21354, -28673, 0.49102779093404797)
